eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
314.38,16.3700008392334,4497.0,0.010842322371900082,0.1457316130399704,2.2493512630462646,-0.010798306204378605,0.3229731321334839,0.844391480088234,72.0,18432.0,295.5324288739357,1179648.0
296.98,13.720000267028809,4631.0,0.01059218030422926,0.1419270783662796,2.27364182472229,-0.00932860467582941,0.2532702386379242,0.8356154412031174,73.0,18688.0,299.0709998868406,1196032.0
295.11,13.619999885559082,4385.0,0.011019130237400532,0.1414998322725296,2.268369436264038,-0.005578633863478899,0.26773354411125183,0.8479321449995041,74.0,18944.0,302.8079085529316,1212416.0
305.68,15.319999694824219,4441.0,0.010888047516345978,0.13702392578125,2.282133102416992,-0.011024643667042255,0.2739178240299225,0.8301977515220642,75.0,19200.0,306.4981794189662,1228800.0
292.47,13.779999732971191,4404.0,0.0077823675237596035,0.0967814102768898,2.2817327976226807,-0.009646984748542309,0.26485779881477356,0.8482984304428101,76.0,19456.0,310.2186618910637,1245184.0
307.69,14.75,4229.0,0.009861305356025696,0.1288655549287796,2.240431070327759,-0.009595192037522793,0.3120630085468292,0.8340029418468475,77.0,19712.0,314.09303479106165,1261568.0
306.44,14.399999618530273,4336.0,0.013382550328969955,0.1672770231962204,2.252143144607544,-0.007828732021152973,0.24875153601169586,0.8468884080648422,78.0,19968.0,317.8720852378756,1277952.0
301.05,14.3100004196167,4200.0,0.0112159987911582,0.14324951171875,2.2550060749053955,-0.006986401975154877,0.31507670879364014,0.8440789133310318,79.0,20224.0,321.77343509392813,1294336.0
318.33,15.399999618530273,4148.0,0.008399982936680317,0.1060994490981102,2.2716407775878906,-0.009652260690927505,0.2873612940311432,0.8248641788959503,80.0,20480.0,325.7241218020208,1310720.0
320.65,15.850000381469727,4528.0,0.008794503286480904,0.109130859375,2.2437517642974854,-0.009139704518020153,0.2892778515815735,0.8349199146032333,81.0,20736.0,329.34289408591576,1327104.0
306.14,15.229999542236328,4554.0,0.010127025656402111,0.1377766877412796,2.269144296646118,-0.01054916437715292,0.34526368975639343,0.8145180493593216,82.0,20992.0,332.9409734120127,1343488.0
299.18,15.350000381469727,4532.0,0.01060180738568306,0.1355183869600296,2.286203145980835,-0.008421741425991058,0.3234907388687134,0.8394089937210083,83.0,21248.0,336.55662250705063,1359872.0
292.8,14.800000190734863,4267.0,0.010619036853313446,0.1412556916475296,2.2639129161834717,-0.008180147968232632,0.36661049723625183,0.8331717699766159,84.0,21504.0,340.3969607509207,1376256.0
300.97,14.8100004196167,4331.0,0.008370345458388329,0.10443115234375,2.2867090702056885,-0.006173776462674141,0.38357388973236084,0.8210358172655106,85.0,21760.0,344.18074776488356,1392640.0
312.3,14.949999809265137,4290.0,0.008456461131572723,0.1063639298081398,2.2863097190856934,-0.009387207217514515,0.26414498686790466,0.837264358997345,86.0,22016.0,348.0006144528743,1409024.0
329.95,17.010000228881836,4269.0,0.007747629191726446,0.09686279296875,2.250565767288208,-0.008904799818992615,0.37964722514152527,0.8420725613832474,87.0,22272.0,351.84243868198246,1425408.0
338.19,17.979999542236328,4266.0,0.006277566775679588,0.0729776993393898,2.2583515644073486,-0.008699449710547924,0.3021257221698761,0.8325777351856232,88.0,22528.0,355.6833753439132,1441792.0
